epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
183,13922.7,0.41078,0.26374,0.93352,0.98593,0.98957,0.9944,0.9235,0.46031,0.21785,0.94016,0.0001652,0.0001652,0.0001652
184,13994.1,0.41162,0.25974,0.9322,0.98668,0.98779,0.9944,0.92339,0.46111,0.21691,0.93938,0.000156948,0.000156948,0.000156948
185,14065.7,0.406,0.2597,0.93126,0.98752,0.98671,0.99432,0.92367,0.45995,0.2173,0.93773,0.000148696,0.000148696,0.000148696
186,14137.2,0.39867,0.25664,0.92617,0.98472,0.99078,0.99408,0.92174,0.4606,0.21735,0.93802,0.000140445,0.000140445,0.000140445
187,14208.8,0.40531,0.25757,0.93051,0.98873,0.98963,0.99431,0.92431,0.46219,0.21808,0.93993,0.000132193,0.000132193,0.000132193
188,14280.4,0.39506,0.25823,0.9255,0.98343,0.99185,0.9943,0.92349,0.46258,0.21667,0.94147,0.000123941,0.000123941,0.000123941
189,14351.9,0.41446,0.26444,0.94072,0.9832,0.99142,0.99421,0.92343,0.4618,0.21845,0.94131,0.00011569,0.00011569,0.00011569
190,14423.5,0.39802,0.2553,0.92804,0.9867,0.98974,0.9942,0.92251,0.46252,0.21722,0.94125,0.000107438,0.000107438,0.000107438
191,14490,0.27735,0.16755,0.83638,0.98817,0.98842,0.9941,0.92246,0.46312,0.212,0.94251,9.91865e-05,9.91865e-05,9.91865e-05
192,14552,0.27433,0.1585,0.83095,0.99072,0.98138,0.99425,0.92115,0.46455,0.21213,0.94446,9.09349e-05,9.09349e-05,9.09349e-05
193,14611.6,0.26882,0.15487,0.83255,0.98791,0.98484,0.99433,0.91925,0.46681,0.21253,0.94611,8.26832e-05,8.26832e-05,8.26832e-05
194,14671.1,0.26807,0.15241,0.82618,0.98788,0.98625,0.9943,0.9187,0.46672,0.21262,0.94662,7.44316e-05,7.44316e-05,7.44316e-05
195,14730.7,0.26286,0.15054,0.82485,0.99154,0.98521,0.99403,0.91938,0.46737,0.21478,0.94842,6.61799e-05,6.61799e-05,6.61799e-05
196,14794.6,0.26309,0.15211,0.82656,0.98887,0.98563,0.99411,0.9192,0.46835,0.21491,0.9483,5.79283e-05,5.79283e-05,5.79283e-05
197,14861.7,0.25669,0.14898,0.8194,0.98928,0.98511,0.99421,0.9216,0.46822,0.21482,0.94781,4.96766e-05,4.96766e-05,4.96766e-05
198,14928.7,0.25455,0.14838,0.81965,0.98863,0.9854,0.99423,0.92176,0.4686,0.21447,0.94834,4.1425e-05,4.1425e-05,4.1425e-05
199,14995.9,0.25774,0.14755,0.82317,0.98864,0.98505,0.99429,0.92184,0.46838,0.21484,0.9485,3.31733e-05,3.31733e-05,3.31733e-05
200,15063,0.25776,0.1495,0.82281,0.98863,0.98465,0.99429,0.92245,0.46772,0.21432,0.94816,2.49217e-05,2.49217e-05,2.49217e-05
